"المنصة","المسار","الملف","الدور","الإجراءات","حالة التحقق","الدليل"
"ويب","/about","app/about/page.tsx","زائر؛ البيانات العامة المنشورة فقط","عرض وتنقل","تحقق HTTP فعلي للقالب ببيانات اصطناعية؛ لا يثبت كل تفاعل","seo-http.json وseo-report.md"
"ويب","/accessibility","app/accessibility/page.tsx","زائر؛ البيانات العامة المنشورة فقط","عرض وتنقل","تحقق HTTP فعلي للقالب ببيانات اصطناعية؛ لا يثبت كل تفاعل","seo-http.json وseo-report.md"
"ويب","/admin/ai","app/admin/ai/page.tsx","مدير حسب صلاحيات الإجراء","عرض وتنقل","تحقق HTTP لفتح الصفحة بحسب الدور؛ الأزرار والحالات التفصيلية غير مكتملة التغطية","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء؛ page-role-smoke.json"
"ويب","/admin/bundles","app/admin/bundles/page.tsx","مدير حسب صلاحيات الإجراء","عرض وتنقل","تحقق HTTP لفتح الصفحة بحسب الدور؛ الأزرار والحالات التفصيلية غير مكتملة التغطية","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء؛ page-role-smoke.json"
"ويب","/admin/course-resources","app/admin/course-resources/page.tsx","مدير حسب صلاحيات الإجراء","عرض وتنقل","تحقق HTTP لفتح الصفحة بحسب الدور؛ الأزرار والحالات التفصيلية غير مكتملة التغطية","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء؛ page-role-smoke.json"
"ويب","/admin/courses/[slug]","app/admin/courses/[slug]/page.tsx","مدير حسب صلاحيات الإجراء","عرض وتنقل","تحقق حي لسيناريوهات محددة","admin-report.md وadmin-live-data/security/store-controls.json؛ page-role-smoke.json"
"ويب","/admin/files","app/admin/files/page.tsx","مدير حسب صلاحيات الإجراء","عرض وتنقل","تحقق HTTP لفتح الصفحة بحسب الدور؛ الأزرار والحالات التفصيلية غير مكتملة التغطية","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء؛ page-role-smoke.json"
"ويب","/admin/finance","app/admin/finance/page.tsx","مدير حسب صلاحيات الإجراء","عرض وتنقل","تحقق HTTP لفتح الصفحة بحسب الدور؛ الأزرار والحالات التفصيلية غير مكتملة التغطية","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء؛ page-role-smoke.json"
"ويب","/admin/learning-tracks","app/admin/learning-tracks/page.tsx","مدير حسب صلاحيات الإجراء","عرض وتنقل","تحقق HTTP لفتح الصفحة بحسب الدور؛ الأزرار والحالات التفصيلية غير مكتملة التغطية","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء؛ page-role-smoke.json"
"ويب","/admin/operations","app/admin/operations/page.tsx","مدير حسب صلاحيات الإجراء","عرض وتنقل","تحقق HTTP لفتح الصفحة بحسب الدور؛ الأزرار والحالات التفصيلية غير مكتملة التغطية","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء؛ page-role-smoke.json"
"ويب","/admin","app/admin/page.tsx","مدير حسب صلاحيات الإجراء","عرض وتنقل","تحقق HTTP لفتح الصفحة بحسب الدور؛ الأزرار والحالات التفصيلية غير مكتملة التغطية","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء؛ page-role-smoke.json"
"ويب","/admin/partners","app/admin/partners/page.tsx","مدير حسب صلاحيات الإجراء","عرض وتنقل","تحقق HTTP لفتح الصفحة بحسب الدور؛ الأزرار والحالات التفصيلية غير مكتملة التغطية","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء؛ page-role-smoke.json"
"ويب","/admin/purchases","app/admin/purchases/page.tsx","مدير حسب صلاحيات الإجراء","عرض وتنقل","اختبارات منطق وPostgreSQL ببيانات مزود اصطناعية؛ شراء المتجر الفعلي معلق","store-integration.json وmobile/tests/store-purchases.test.mjs؛ page-role-smoke.json"
"ويب","/admin/referrals","app/admin/referrals/page.tsx","مدير حسب صلاحيات الإجراء","عرض وتنقل","تحقق HTTP لفتح الصفحة بحسب الدور؛ الأزرار والحالات التفصيلية غير مكتملة التغطية","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء؛ page-role-smoke.json"
"ويب","/admin/security","app/admin/security/page.tsx","مدير حسب صلاحيات الإجراء","عرض وتنقل","تحقق HTTP لفتح الصفحة بحسب الدور؛ الأزرار والحالات التفصيلية غير مكتملة التغطية","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء؛ page-role-smoke.json"
"ويب","/admin/seo","app/admin/seo/page.tsx","مدير حسب صلاحيات الإجراء","عرض وتنقل","تحقق HTTP لفتح الصفحة بحسب الدور؛ الأزرار والحالات التفصيلية غير مكتملة التغطية","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء؛ page-role-smoke.json"
"ويب","/admin/students/[email]","app/admin/students/[email]/page.tsx","مدير حسب صلاحيات الإجراء","عرض وتنقل","تحقق حي لسيناريوهات محددة","admin-report.md وadmin-live-data/security/store-controls.json؛ page-role-smoke.json"
"API","/api/admin/ai","app/api/admin/ai/route.ts","مدير حسب صلاحيات الإجراء","GET,POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/analytics","app/api/admin/analytics/route.ts","مدير حسب صلاحيات الإجراء","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/bundles","app/api/admin/bundles/route.ts","مدير حسب صلاحيات الإجراء","GET,POST,PATCH,DELETE","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/compliance","app/api/admin/compliance/route.ts","مدير حسب صلاحيات الإجراء","GET,POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/console","app/api/admin/console/route.ts","مدير حسب صلاحيات الإجراء","GET,POST","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/course-requests/[id]/download","app/api/admin/course-requests/[id]/download/route.ts","مدير حسب صلاحيات الإجراء","GET","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
"API","/api/admin/course-resources","app/api/admin/course-resources/route.ts","مدير حسب صلاحيات الإجراء","GET,POST,PATCH,DELETE","لم تُجرّب هذه الشاشة/الخدمة منفردةً بجميع الحالات","راجع تقارير المجالات؛ المرور بفحص البناء لا يساوي تحقق كل إجراء"
